respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
0,ZN,CO,JR,MW,MRJ,LK,RH,BE,DH
1,ZN,LK,MRJ,JR,MW,CO,RH,BE,DH
2,JR,BE,CO,MW,MRJ,ZN,DH,LK,RH
3,ZN,MRJ,LK,MW,RH,DH,JR,CO,BE
4,RH,DH,BE,CO,LK,MRJ,MW,ZN,JR
5,BE,MW,CO,ZN,LK,JR,DH,RH,MRJ
6,ZN,CO,MW,MRJ,JR,LK,RH,DH,BE
7,ZN,DH,BE,MRJ,RH,MW,LK,JR,CO
8,DH,CO,RH,BE,MRJ,MW,LK,ZN,JR
9,CO,MRJ,RH,JR,BE,LK,DH,ZN,MW
10,MRJ,BE,RH,LK,ZN,MW,DH,CO,JR
11,DH,RH,LK,MW,BE,MRJ,JR,CO,ZN
12,RH,BE,JR,LK,MRJ,DH,MW,ZN,CO
13,ZN,MW,RH,DH,CO,LK,MRJ,BE,JR
14,BE,RH,MW,DH,LK,MRJ,ZN,CO,JR
15,MRJ,MW,BE,DH,ZN,LK,RH,CO,JR
16,RH,BE,JR,CO,ZN,LK,MW,DH,MRJ
17,MW,CO,DH,LK,BE,MRJ,JR,RH,ZN
18,LK,RH,CO,MW,JR,MRJ,BE,DH,ZN
19,CO,JR,RH,MW,MRJ,ZN,LK,BE,DH
20,RH,ZN,JR,LK,CO,BE,MW,MRJ,DH
21,JR,CO,ZN,MRJ,MW,DH,BE,LK,RH
22,JR,ZN,BE,MRJ,DH,LK,MW,RH,CO
23,DH,RH,CO,LK,ZN,BE,JR,MW,MRJ
24,RH,DH,MW,CO,BE,LK,MRJ,ZN,JR
25,MW,ZN,CO,BE,JR,LK,MRJ,RH,DH
26,CO,BE,ZN,DH,JR,MRJ,LK,RH,MW
27,MW,LK,ZN,RH,CO,JR,MRJ,BE,DH
28,LK,RH,JR,MW,DH,CO,MRJ,BE,ZN
29,MW,JR,LK,RH,DH,ZN,MRJ,CO,BE
30,ZN,JR,LK,DH,RH,MW,CO,BE,MRJ
31,ZN,MW,LK,JR,DH,RH,CO,MRJ,BE
32,MW,RH,JR,CO,LK,ZN,MRJ,DH,BE
33,JR,RH,CO,BE,MW,MRJ,LK,DH,ZN
34,DH,MRJ,RH,CO,MW,LK,JR,ZN,BE
35,CO,BE,DH,MRJ,LK,MW,ZN,RH,JR
36,RH,LK,MRJ,MW,BE,JR,CO,ZN,DH
37,MRJ,JR,LK,DH,RH,BE,ZN,CO,MW
38,JR,MW,BE,RH,DH,MRJ,ZN,CO,LK
39,LK,CO,MW,MRJ,JR,ZN,RH,BE,DH
40,ZN,CO,JR,DH,MRJ,MW,RH,LK,BE
41,MRJ,RH,LK,BE,CO,DH,JR,MW,ZN
42,JR,ZN,MW,CO,LK,MRJ,DH,RH,BE
43,MW,RH,ZN,CO,JR,MRJ,DH,LK,BE
44,MW,CO,ZN,JR,LK,RH,MRJ,BE,DH
45,ZN,RH,CO,JR,MRJ,MW,DH,LK,BE
46,CO,ZN,JR,MW,LK,MRJ,DH,RH,BE
47,RH,MW,BE,DH,MRJ,JR,LK,ZN,CO
48,JR,MRJ,DH,ZN,LK,MW,CO,RH,BE
49,DH,BE,JR,LK,MW,MRJ,RH,ZN,CO
50,BE,RH,JR,MW,MRJ,CO,LK,DH,ZN
51,MW,ZN,MRJ,CO,RH,JR,BE,DH,LK
52,CO,ZN,MW,MRJ,LK,BE,JR,RH,DH
53,DH,RH,LK,MW,BE,MRJ,ZN,CO,JR
54,DH,MW,LK,ZN,JR,CO,RH,MRJ,BE
55,DH,MW,MRJ,RH,ZN,LK,JR,CO,BE
56,RH,DH,BE,JR,CO,MW,LK,MRJ,ZN
57,LK,MRJ,ZN,RH,DH,CO,BE,MW,JR
58,JR,CO,DH,RH,MW,LK,ZN,MRJ,BE
59,MW,JR,CO,ZN,LK,BE,RH,DH,MRJ
60,RH,MW,LK,JR,MRJ,ZN,CO,DH,BE
61,CO,JR,BE,MW,MRJ,RH,DH,LK,ZN
62,MW,ZN,JR,MRJ,CO,RH,DH,LK,BE
63,BE,RH,MW,MRJ,DH,LK,JR,ZN,CO
64,MW,MRJ,CO,RH,ZN,DH,LK,JR,BE
65,MRJ,BE,DH,LK,RH,MW,ZN,CO,JR
66,LK,ZN,MRJ,CO,MW,JR,DH,RH,BE
67,BE,RH,ZN,DH,MRJ,MW,LK,CO,JR
68,MRJ,CO,MW,JR,ZN,LK,RH,DH,BE
69,LK,MW,ZN,MRJ,DH,RH,JR,BE,CO
70,DH,MRJ,ZN,LK,BE,JR,MW,RH,CO
71,ZN,RH,CO,JR,LK,MRJ,DH,MW,BE
72,MRJ,BE,DH,LK,MW,RH,ZN,CO,JR
73,LK,ZN,MW,DH,RH,JR,MRJ,CO,BE
74,DH,MW,MRJ,JR,CO,LK,RH,ZN,BE
75,JR,BE,CO,LK,MRJ,ZN,MW,RH,DH
76,MRJ,MW,CO,LK,RH,DH,ZN,BE,JR
77,MW,BE,JR,CO,DH,RH,LK,MRJ,ZN
78,LK,MW,ZN,CO,JR,DH,RH,BE,MRJ
79,BE,RH,DH,MRJ,LK,MW,ZN,CO,JR
80,RH,LK,BE,DH,MW,ZN,JR,CO,MRJ
81,RH,BE,DH,MRJ,MW,ZN,CO,JR,LK
82,JR,RH,DH,BE,MRJ,LK,MW,CO,ZN
83,MRJ,LK,CO,RH,DH,BE,MW,ZN,JR
84,CO,MRJ,MW,DH,RH,LK,JR,ZN,BE
85,BE,JR,RH,MW,DH,MRJ,CO,LK,ZN
86,CO,MW,MRJ,ZN,JR,RH,LK,BE,DH
87,LK,ZN,CO,JR,RH,MRJ,DH,MW,BE
88,CO,JR,DH,MW,MRJ,RH,ZN,LK,BE
89,CO,ZN,JR,LK,MRJ,MW,RH,DH,BE
90,MW,CO,LK,JR,DH,RH,ZN,MRJ,BE
91,RH,LK,CO,ZN,MW,DH,JR,MRJ,BE
92,MRJ,RH,DH,BE,ZN,LK,CO,JR,MW
93,RH,DH,BE,JR,CO,MRJ,MW,ZN,LK
94,MRJ,LK,RH,CO,BE,DH,MW,JR,ZN
95,BE,MRJ,MW,RH,LK,DH,ZN,JR,CO
