variable_name,question_label,n_valid,pct_missing,weighted_variance,modal_share_pct,partyID_r2,ideology_r2,r2_difference,redundant_with,recommended_action,reason,recommended_action,v3_drop_reason
CC24_301,National economy: better or worse past year,58452,2.6,1.7609,34.9,0.3375,0.2613,-0.0761,CC24_312a; CC24_312i,DROP,Partisan proxy: national economy retrospective (PID R²=0.338); functions as Biden approval proxy in 2024,DROP,Partisan proxy: national economy retrospective (PID R²=0.338); functions as Biden approval proxy in 2024
CC24_302,Household income: change past year,59913,0.1,0.9007,49.7,0.0602,0.047,-0.0132,,KEEP,Meets inclusion criteria,KEEP,
CC24_303,Perceived price change past year (rev: high=inflation),59874,0.2,0.6787,55.3,0.1094,0.0932,-0.0162,,KEEP,Meets inclusion criteria,KEEP,
CC24_309d_8,Financial fragility: can't cover $400 emergency [binary; from multi-select],60000,0,0.1443,82.5,0.0002,0.0001,-0.0001,,DROP,derived_from_multiselect: user specified CC24_309d; consider CC24_309e (5pt ordinal) as better alternative,DROP,
CC24_312a,Approve Biden [4-pt; FLAG:partisan proxy],58405,2.7,1.3453,47.2,0.5682,0.3558,-0.2125,CC24_330a; CC24_301; CC24_341b; CC24_341c; CC24_323a; CC24_323d; CC24_321b; CC24_324d; CC24_440a; CC24_441b; CC24_312i,DROP,Partisan proxy: Biden approval (PID R²=0.568); near-pure party signal; r=0.977 with CC24_312i,DROP,Partisan proxy: Biden approval (PID R²=0.568); near-pure party signal; r=0.977 with CC24_312i
CC24_312b,Approve U.S. Congress [4-pt],52863,11.9,0.6448,43.3,0.0007,0.0008,0.0001,,DROP,Meets inclusion criteria,DROP,
CC24_312c,Approve U.S. Supreme Court [4-pt],54121,9.8,1.1288,37.7,0.2787,0.2873,0.0086,CC24_341a; CC24_341b; CC24_324d,DROP,Meets inclusion criteria; r>0.70 with CC24_341a,DROP,
CC24_312d,Approve Governor [4-pt; FLAG:direction varies by state],55126,8.1,1.2897,31.6,0.0084,0.004,-0.0044,CC24_424; CC24_312e,DROP,direction_inconsistent: partisan valence varies by state governor,DROP,
CC24_312e,Approve State legislature [4-pt; FLAG:direction varies by state],47684,20.5,0.9806,39.8,0.0003,0.0003,0.0001,CC24_312d; CC24_312h,DROP,direction_inconsistent: partisan valence varies by state legislature,DROP,
CC24_312f,Approve House rep [4-pt; FLAG:direction varies; high DK],42163,29.7,1.2687,33.1,0.0004,0.0026,0.0022,,DROP,direction_inconsistent: direction varies by rep; 29% Not sure → NaN,DROP,
CC24_312g,Approve Senator 1 [4-pt; FLAG:direction varies; high DK],46531,22.4,1.3151,32.2,0.0305,0.0183,-0.0122,CC24_312h,DROP,direction_inconsistent: direction varies by senator; 22% Not sure → NaN,DROP,
CC24_312h,Approve Senator 2 [4-pt; FLAG:direction varies; high DK],45021,25,1.4098,34,0.0034,0.0016,-0.0018,CC24_312e; CC24_312g,DROP,direction_inconsistent: direction varies by senator; 25% Not sure → NaN; only shown when CurrentSen2Name populated,DROP,
CC24_312i,Approve Harris [4-pt; FLAG:partisan proxy],57352,4.4,1.5635,46.3,0.6296,0.4063,-0.2233,CC24_330a; CC24_301; CC24_341b; CC24_341c; CC24_323a; CC24_323d; CC24_321b; CC24_324d; CC24_340c; CC24_340f; CC24_440a; CC24_441a; CC24_441b; CC24_312a,DROP,Partisan proxy: Harris approval (PID R²=0.630); near-pure party signal; r=0.977 with CC24_312a,DROP,Partisan proxy: Harris approval (PID R²=0.630); near-pure party signal; r=0.977 with CC24_312a
CC24_321b,Support easier concealed carry permits,59998,0,0.2389,60.5,0.1836,0.1781,-0.0056,CC24_312a; CC24_312i,KEEP,Meets inclusion criteria,KEEP,
CC24_321c,Oppose background checks on all gun sales [rev; FLAG:ceiling],59997,0,0.0722,92.2,0.023,0.0308,0.0078,,DROP,ceiling_effect: 93% Support (opposition only 7%),DROP,
