state_fips,state_abbr,winner_code,winner_label,runner_up_code,runner_up_label,n_respondents,n_irv_rounds,r1_pct_LIB,r1_pct_CTR,r1_pct_STY,r1_pct_SD,r1_pct_CON
1,AL,MW,SD,MRJ,STY,661,4,16.02,16.45,18.88,23.47,25.18
2,AK,LK,CTR,RH,CON,105,4,21.07,28.38,18.27,10.44,21.84
4,AZ,MRJ,STY,LK,CTR,1159,4,15.48,20.0,24.52,17.48,22.53
5,AR,MW,SD,RH,CON,390,4,11.49,21.7,12.19,29.89,24.74
6,CA,MRJ,STY,RH,CON,3626,4,19.68,18.18,21.0,20.26,20.89
8,CO,MRJ,STY,CO,LIB,785,4,22.92,18.65,18.7,21.76,17.97
9,CT,MW,SD,LK,CTR,465,4,19.25,21.54,16.35,26.88,15.99
10,DE,LK,CTR,MW,SD,164,3,10.71,43.64,17.92,12.17,15.57
11,DC,CO,LIB,MW,SD,122,4,28.52,25.98,13.52,21.39,10.59
12,FL,MW,SD,LK,CTR,3350,4,18.82,19.51,20.06,22.58,19.03
13,GA,RH,CON,MW,SD,1489,4,16.81,20.48,18.92,21.62,22.16
15,HI,MRJ,STY,CO,LIB,153,4,17.14,19.38,19.87,16.03,27.58
16,ID,LK,CTR,CO,LIB,244,4,21.71,23.82,21.76,12.94,19.76
17,IL,RH,CON,LK,CTR,1758,4,16.36,20.43,20.28,19.09,23.85
18,IN,RH,CON,CO,LIB,978,4,17.61,23.6,18.02,17.22,23.55
19,IA,LK,CTR,MW,SD,490,4,12.32,27.36,24.65,16.36,19.31
20,KS,LK,CTR,MW,SD,385,4,15.3,24.39,23.59,18.99,17.74
21,KY,RH,CON,LK,CTR,674,4,13.19,23.63,19.75,15.96,27.47
22,LA,MW,SD,LK,CTR,493,4,17.3,19.84,17.99,21.94,22.92
23,ME,LK,CTR,RH,CON,236,4,20.81,20.82,21.47,15.85,21.05
24,MD,MW,SD,MRJ,STY,791,4,24.66,17.57,18.37,21.95,17.46
25,MA,MW,SD,CO,LIB,906,4,19.52,16.45,23.69,25.58,14.76
26,MI,MW,SD,MRJ,STY,1531,4,16.8,19.82,20.39,23.47,19.51
27,MN,MRJ,STY,RH,CON,811,4,17.05,20.77,23.44,16.77,21.97
28,MS,LK,CTR,MW,SD,349,4,12.45,24.1,16.78,25.68,20.99
29,MO,RH,CON,LK,CTR,1047,4,17.67,20.21,22.77,17.99,21.36
30,MT,LK,CTR,CO,LIB,185,4,18.09,25.76,19.92,17.33,18.89
31,NE,MW,SD,CO,LIB,286,4,20.53,14.7,18.88,23.28,22.6
32,NV,MW,SD,CO,LIB,573,4,23.04,20.48,21.69,17.81,16.98
33,NH,MW,SD,RH,CON,252,4,12.64,24.81,16.21,25.36,20.98
34,NJ,LK,CTR,MRJ,STY,1241,4,18.25,24.29,18.59,18.26,20.6
35,NM,MW,SD,LK,CTR,309,4,18.21,16.96,15.59,27.49,21.75
36,NY,MRJ,STY,MW,SD,2585,4,22.96,19.09,20.54,19.67,17.73
37,NC,MRJ,STY,RH,CON,1444,4,18.35,17.92,20.37,21.86,21.49
38,ND,MRJ,STY,LK,CTR,90,4,8.91,20.83,22.07,27.33,20.86
39,OH,LK,CTR,RH,CON,1978,4,17.33,19.87,22.93,17.97,21.9
40,OK,LK,CTR,MRJ,STY,537,4,14.99,23.13,22.29,20.27,19.33
41,OR,MRJ,STY,RH,CON,810,4,17.94,21.46,22.61,18.75,19.25
42,PA,RH,CON,LK,CTR,2418,4,17.1,20.67,20.51,19.11,22.61
44,RI,MW,SD,CO,LIB,176,4,16.54,21.14,15.56,33.67,13.1
45,SC,MRJ,STY,LK,CTR,736,4,16.15,21.08,23.4,15.18,24.2
46,SD,RH,CON,MW,SD,137,4,17.78,11.34,29.84,16.17,24.86
47,TN,LK,CTR,RH,CON,1065,4,15.87,22.92,21.61,17.52,22.08
48,TX,MRJ,STY,LK,CTR,3392,4,16.81,18.23,24.95,16.26,23.76
49,UT,MW,SD,LK,CTR,387,4,12.49,21.51,18.27,24.76,22.96
50,VT,RH,CON,LK,CTR,105,4,16.75,18.21,19.94,11.09,34.01
51,VA,LK,CTR,RH,CON,1234,4,19.36,23.77,17.53,20.96,18.37
53,WA,MW,SD,LK,CTR,1112,4,15.45,19.59,25.18,21.21,18.56
54,WV,RH,CON,MW,SD,335,4,17.6,15.69,20.84,20.86,25.02
55,WI,MW,SD,LK,CTR,1088,4,15.22,18.49,18.28,23.66,24.36
56,WY,RH,CON,MRJ,STY,70,4,26.13,14.98,16.89,12.82,29.18
